residual,date
8.294299608857235,2006-01-01
0.17286264895343706,2006-02-01
-0.12981369337884452,2006-03-01
-0.17654464356971644,2006-04-01
0.5388774802102123,2006-05-01
-0.21525632711725962,2006-06-01
-0.08929688621193677,2006-07-01
0.049751398460724516,2006-08-01
0.008906513121308635,2006-09-01
-0.06443811028420399,2006-10-01
-0.029581942368523073,2006-11-01
-0.013622055537416244,2006-12-01
-0.03436227972173356,2007-01-01
-0.0441086439890519,2007-02-01
0.01995136816338139,2007-03-01
0.022092447901398415,2007-04-01
0.03057363175643424,2007-05-01
0.002485347095884549,2007-06-01
-0.06043133413759172,2007-07-01
0.09491889487994598,2007-08-01
0.08650522649609549,2007-09-01
0.045456993208741636,2007-10-01
-0.09271160346440155,2007-11-01
-0.010047651317977468,2007-12-01
0.03890616833617244,2008-01-01
0.08241996441048016,2008-02-01
0.003158050326025119,2008-03-01
-0.02133700195071242,2008-04-01
0.02630889222686683,2008-05-01
-0.06994146511098087,2008-06-01
0.019559984382292228,2008-07-01
-0.02397904029821163,2008-08-01
0.03732714929983949,2008-09-01
0.1106303461252427,2008-10-01
0.03642372246251391,2008-11-01
0.08987138593039212,2008-12-01
0.07691227337063111,2009-01-01
0.03704445304348347,2009-02-01
-0.024924150821940216,2009-03-01
0.017001067208129328,2009-04-01
-0.0032808605145202563,2009-05-01
-0.010361125068911292,2009-06-01
0.12677486899733914,2009-07-01
-0.1573718552219976,2009-08-01
-0.003642969641532545,2009-09-01
-0.024198871751899276,2009-10-01
-0.014750863907231349,2009-11-01
-0.013586480690646496,2009-12-01
0.002912618327792771,2010-01-01
0.021931036997353104,2010-02-01
0.021123047482884516,2010-03-01
0.012680013027402737,2010-04-01
0.009753434893573498,2010-05-01
0.005274682214363224,2010-06-01
0.030693611131997756,2010-07-01
0.14415289437604528,2010-08-01
0.10000124539320687,2010-09-01
0.04516978947857808,2010-10-01
0.0198018239574953,2010-11-01
0.017995175778596106,2010-12-01
0.007373774724264592,2011-01-01
-0.0016249604528599804,2011-02-01
-0.027007550447025963,2011-03-01
-0.001823863760629152,2011-04-01
0.008994984375222614,2011-05-01
-0.003771174153404999,2011-06-01
0.00942292765485675,2011-07-01
0.028536616227572864,2011-08-01
-0.06155940991404307,2011-09-01
-0.07432332262241736,2011-10-01
-0.10675881349364147,2011-11-01
-0.008653690621541088,2011-12-01
0.002349519901580166,2012-01-01
-0.044705738144438456,2012-02-01
0.04597740458681976,2012-03-01
-0.03584088175566258,2012-04-01
0.00701629256054126,2012-05-01
-0.06053681502681485,2012-06-01
-0.09287101760845395,2012-07-01
0.03198388362843474,2012-08-01
0.030285671739813225,2012-09-01
-0.07614357025713403,2012-10-01
-0.01222667622577056,2012-11-01
-0.013357442674484687,2012-12-01
0.004350860612918339,2013-01-01
-0.019568287353099123,2013-02-01
0.02252407166053061,2013-03-01
-0.01577675444132076,2013-04-01
0.013176282459134825,2013-05-01
-0.022381311708677742,2013-06-01
-0.06176110465658802,2013-07-01
0.0424688184084836,2013-08-01
0.07420749618391298,2013-09-01
0.1531317686726421,2013-10-01
0.34240603524934166,2013-11-01
-0.054258937175784894,2013-12-01
0.011543368360333872,2014-01-01
-0.07447781041287982,2014-02-01
-0.019438859233115835,2014-03-01
0.04490557944531126,2014-04-01
0.030470467766731346,2014-05-01
0.05953743322801941,2014-06-01
-0.05438053517315922,2014-07-01
0.015990257969789923,2014-08-01
-0.020512925648370484,2014-09-01
-0.014495078989796184,2014-10-01
-0.11722882595185347,2014-11-01
