date,avg_monthly_price,price,year,month,month_name,quarter,season,lag_1,lag_2,lag_3,lag_12,rolling_mean_3,rolling_std_3,diff_1,sin_month,cos_month,weight,iqr_outlier,zscore,zscore_outlier,roll_3,roll_6,roll_12,ewm_24,price_diff,pct_change,rolling_std3,rolling_std6
2006-01-01,4000,8.294299608857235,2006,1,Jan,1,Winter,8.246433786160365,8.448057452581375,8.425735580927402,8.612685172875459,8.373408939889714,0.11052865572771729,0.04786582269687045,0.49999999999999994,0.8660254037844387,0.003345965457471272,False,1.4559251141003073,False,,,,4000.0,,,,
2006-02-01,4755,8.467162257810672,2006,2,Feb,1,Winter,8.294299608857235,8.246433786160365,8.448057452581375,8.608312784783722,8.32959694919966,0.10534444642076367,0.17286264895343706,0.8660254037844386,0.5000000000000001,0.003345965457471272,False,1.1853811720528373,False,4310.333333333333,,,4060.4,755.0,18.874999999999996,,
2006-03-01,4176,8.337348564497175,2006,3,Mar,1,Summer,8.467162257810672,8.294299608857235,8.246433786160365,8.606485298894999,8.335965217609425,0.11611322820327519,-0.12981369331349768,1.0,6.123233995736766e-17,0.003345965457471272,False,1.3928579170137447,False,4143.666666666667,,,4069.648,-579.0,-12.176656151419563,395.0194088058627,
2006-04-01,3500,8.160803920954665,2006,4,Apr,2,Summer,8.337348564497175,8.467162257810672,8.294299608857235,8.610319169405722,8.366270143721694,0.08998731665867223,-0.17654464354250976,0.8660254037844387,-0.4999999999999998,0.003345965457471272,False,1.6350932876416782,False,4558.666666666667,4565.833333333333,,4024.07616,-676.0,-16.187739463601535,628.1244568820208,
2006-05-01,6000,8.699681400989514,2006,5,May,2,Summer,8.160803920954665,8.337348564497175,8.467162257810672,8.678801706612651,8.321771581087503,0.15377203728051891,0.5388774800348486,0.49999999999999994,-0.8660254037844387,0.003345965457471272,False,0.7392524199348238,False,4821.333333333333,4671.166666666667,,4182.1500672,2500.0,71.42857142857142,1293.1841838397704,
2006-06-01,4964,8.510168576479273,2006,6,Jun,2,Monsoon,8.699681400989514,8.160803920954665,8.337348564497175,8.528924114291936,8.399277962147117,0.2747247210247732,-0.1895128245102402,1.2246467991473532e-16,-1.0,0.003345965457471272,False,1.1104888755125444,False,5198.666666666667,4661.333333333333,,4244.698061824,-1036.0,-17.266666666666662,1256.0912917990208,878.5548171097047
2006-07-01,4632,8.440959885416648,2006,7,Jul,3,Monsoon,8.510168576479273,8.699681400989514,8.160803920954665,8.501063809486354,8.456884632807816,0.27336169924125014,-0.0692086910626255,-0.4999999999999997,-0.8660254037844388,0.003345965457471272,False,1.2294565427440145,False,4764.0,4759.0,4548.75,4275.682216878081,-332.0,-6.688154713940375,713.5526142712488,833.898415076241
2006-08-01,4696,8.454679286026995,2006,8,Aug,3,Monsoon,8.440959885416648,8.510168576479273,8.699681400989514,8.546751993657782,8.550269954295144,0.1339413902874275,0.01371940061034671,-0.8660254037844385,-0.5000000000000004,0.003345965457471272,False,1.206523016530719,False,4696.666666666667,4924.666666666667,4558.583333333333,4309.307639527835,64.0,1.3816925734024155,176.13631085043298,833.0595817026935
2006-09-01,4762,8.46863300080086,2006,9,Sep,3,Monsoon,8.454679286026995,8.440959885416648,8.510168576479273,8.496990484098719,8.46860258264097,0.03664497743348731,0.013953714773865755,-1.0,-1.8369701987210297e-16,0.003345965457471272,False,1.1828728176232581,False,4650.666666666667,4648.666666666667,4490.25,4345.523028365608,66.0,1.4054514480408953,65.00256405199465,798.4101702759052
2006-10-01,4494,8.410720946905721,2006,10,Oct,4,Post-Monsoon,8.46863300080086,8.454679286026995,8.440959885416648,8.425735580927402,8.454757390748167,0.01383672302343195,-0.05791205389513898,-0.8660254037844386,0.5000000000000001,0.003345965457471272,False,1.278906958641433,False,4533.333333333333,4531.666666666667,4475.583333333333,4357.40118609636,-268.0,-5.627887442251156,139.6328519129137,549.1384767676243
